NAME,total,white,black,native_american,asian,pacific_islander,other,mixed,state
Alabama,5028092,3329012,1326341,21122,69808,2253,93924,185632,01
Alaska,734821,450472,23395,104957,47464,11209,14597,82727,02
Arizona,7172282,4781702,327077,297590,240642,14116,549361,961794,04
Arkansas,3018669,2193348,456693,16840,47413,11117,89782,203476,05
California,39356104,18943660,2202587,394188,5949136,150531,6388999,5327003,06
Colorado,5770790,4393409,233712,57022,185431,8094,283146,609976,08
Connecticut,3611317,2522166,385407,9043,170945,1345,233926,288485,09
Delaware,993635,634244,218266,3309,40570,365,32751,64130,10
District of Columbia,670587,265633,297101,2209,27067,420,30879,47278,11
Florida,21634529,13807410,3355708,59197,609990,13200,1045557,2743467,12
Georgia,10722325,5820019,3373948,37920,465487,7411,378659,638881,13
Hawaii,1450589,333296,28665,4210,538970,150797,24503,370148,15
Idaho,1854109,1574859,12781,22297,24987,2721,83887,132577,16
Illinois,12757634,8388659,1774605,55819,738071,5476,842553,952451,17
Indiana,6784403,5426227,640752,12465,168899,2490,187740,345830,18
Iowa,3188836,2769619,120619,10111,78940,4582,54569,150396,19
Kansas,2935922,2341473,163581,22015,88513,2729,102461,215150,20
Kentucky,4502935,3816997,360184,6821,69187,3805,56352,189589,21
Louisiana,4640546,2758714,1464582,24952,80363,2361,84387,225187,22
Maine,1366949,1261284,21775,6722,15071,265,8128,53704,23
Maryland,6161707,3154247,1841926,18343,399736,3120,355402,388933,24
Massachusetts,6984205,5075525,498785,14740,487600,2766,347501,557288,25
Michigan,10057921,7617085,1363539,45662,327551,2780,157999,543305,26
Minnesota,5695292,4537219,382082,51434,286146,2324,133098,302989,27
Mississippi,2958846,1685024,1101836,12777,29041,1200,41764,87204,28
Missouri,6154422,4884165,693892,17559,127044,8831,91703,331228,29
Montana,1091840,943827,6026,63493,9211,681,11592,57010,30
Nebraska,1958939,1603239,93555,18550,48874,1318,69315,124088,31
Nevada,3104817,1732783,290223,40745,263063,21884,360620,395499,32
New Hampshire,1379610,1241594,20920,2070,36352,348,15009,63317,33
New Jersey,9249063,5528604,1213265,29780,913364,2554,768606,792890,34
New Mexico,2112463,1250614,44894,198140,34400,1849,233978,348588,35
New York,19994379,11749652,3011116,93384,1767598,9120,1878496,1485013,36
North Carolina,10470214,6800458,2192455,109600,325670,6948,421954,613129,37
North Dakota,776874,656425,25233,36284,12474,1459,10705,34294,38
Ohio,11774683,9281702,1449450,17094,283278,4037,157485,581637,39
Oklahoma,3970497,2716667,284453,298628,91720,7313,124427,447289,40
Oregon,4229374,3328095,79593,46880,187852,17139,180534,389281,41
Pennsylvania,12989208,10010379,1407814,20570,473192,4256,405422,667575,42
Rhode Island,1094250,816308,67615,4072,37881,761,75669,91944,44
South Carolina,5142750,3342861,1326209,15617,85834,2722,123269,246238,45
South Dakota,890342,731624,19525,70948,12754,494,10567,44430,46
Tennessee,6923772,5182736,1126815,14118,128630,4684,139938,326851,47
Texas,29243342,17293460,3552579,169576,1511069,27350,2281525,4407783,48
Utah,3283809,2705194,37712,32948,77761,30748,174721,224725,49
Vermont,643816,594131,8000,1336,10824,148,3568,25809,50
Virginia,8624511,5473610,1630355,23728,591088,6185,303247,596298,51
Washington,7688549,5374874,301477,91698,708647,53003,399571,759279,53
West Virginia,1792967,1639342,61227,1730,13602,657,9504,66905,54
Wisconsin,5882128,4854979,363331,43759,169052,2261,128690,320056,55
Wyoming,577929,504798,4891,12359,4717,636,16504,34024,56
Puerto Rico,3272382,1425431,286388,5066,6295,279,786315,762608,72
