state,race,population
Alabama,asian,69808
Alabama,black,1326341
Alabama,hispanic,232407
Alabama,mixed,185632
Alabama,native_american,21122
Alabama,other,96177
Alabama,white,3329012
Alaska,asian,47464
Alaska,black,23395
Alaska,hispanic,54890
Alaska,mixed,82727
Alaska,native_american,104957
Alaska,other,25806
Alaska,white,450472
Arizona,asian,240642
Arizona,black,327077
Arizona,hispanic,2297513
Arizona,mixed,961794
Arizona,native_american,297590
Arizona,other,563477
Arizona,white,4781702
Arkansas,asian,47413
Arkansas,black,456693
Arkansas,hispanic,243321
Arkansas,mixed,203476
Arkansas,native_american,16840
Arkansas,other,100899
Arkansas,white,2193348
California,asian,5949136
California,black,2202587
California,hispanic,15617930
California,mixed,5327003
California,native_american,394188
California,other,6539530
California,white,18943660
Colorado,asian,185431
Colorado,black,233712
Colorado,hispanic,1273762
Colorado,mixed,609976
Colorado,native_american,57022
Colorado,other,291240
Colorado,white,4393409
Connecticut,asian,170945
Connecticut,black,385407
Connecticut,hispanic,627408
Connecticut,mixed,288485
Connecticut,native_american,9043
Connecticut,other,235271
Connecticut,white,2522166
Delaware,asian,40570
Delaware,black,218266
Delaware,hispanic,98696
Delaware,mixed,64130
Delaware,native_american,3309
Delaware,other,33116
Delaware,white,634244
District of Columbia,asian,27067
District of Columbia,black,297101
District of Columbia,hispanic,77168
District of Columbia,mixed,47278
District of Columbia,native_american,2209
District of Columbia,other,31299
District of Columbia,white,265633
Florida,asian,609990
Florida,black,3355708
Florida,hispanic,5738283
Florida,mixed,2743467
Florida,native_american,59197
Florida,other,1058757
Florida,white,13807410
Georgia,asian,465487
Georgia,black,3373948
Georgia,hispanic,1078457
Georgia,mixed,638881
Georgia,native_american,37920
Georgia,other,386070
Georgia,white,5820019
Hawaii,asian,538970
Hawaii,black,28665
Hawaii,hispanic,159023
Hawaii,mixed,370148
Hawaii,native_american,4210
Hawaii,other,175300
Hawaii,white,333296
Idaho,asian,24987
Idaho,black,12781
Idaho,hispanic,242236
Idaho,mixed,132577
Idaho,native_american,22297
Idaho,other,86608
Idaho,white,1574859
Illinois,asian,738071
Illinois,black,1774605
Illinois,hispanic,2275704
Illinois,mixed,952451
Illinois,native_american,55819
Illinois,other,848029
Illinois,white,8388659
Indiana,asian,168899
Indiana,black,640752
Indiana,hispanic,510984
Indiana,mixed,345830
Indiana,native_american,12465
Indiana,other,190230
Indiana,white,5426227
Iowa,asian,78940
Iowa,black,120619
Iowa,hispanic,208637
Iowa,mixed,150396
Iowa,native_american,10111
Iowa,other,59151
Iowa,white,2769619
Kansas,asian,88513
Kansas,black,163581
Kansas,hispanic,369970
Kansas,mixed,215150
Kansas,native_american,22015
Kansas,other,105190
Kansas,white,2341473
Kentucky,asian,69187
Kentucky,black,360184
Kentucky,hispanic,180481
Kentucky,mixed,189589
Kentucky,native_american,6821
Kentucky,other,60157
Kentucky,white,3816997
Louisiana,asian,80363
Louisiana,black,1464582
Louisiana,hispanic,255584
Louisiana,mixed,225187
Louisiana,native_american,24952
Louisiana,other,86748
Louisiana,white,2758714
Maine,asian,15071
Maine,black,21775
Maine,hispanic,25898
Maine,mixed,53704
Maine,native_american,6722
Maine,other,8393
Maine,white,1261284
Maryland,asian,399736
Maryland,black,1841926
Maryland,hispanic,672905
Maryland,mixed,388933
Maryland,native_american,18343
